"astro_name","astro_price"
"Barilla Pasta Rigatoni","Rp48.500"
"Barilla Pasta Angel Hair","Rp40.900"
"Masaya Beras Porang","Rp125.000"
"Mie Sedaap Soto Dus/Mie Instan","Rp108.000"
"Mie Sedaap Singapore Spicy Laksa Dus/Mie Instan","Rp108.000"
"Mie Sedaap Ayam Bawang Dus/Mie Instan","Rp108.000"
"Barilla Pasta Rigatoni","Rp48.500"
"Barilla Pasta Angel Hair","Rp40.900"
"Masaya Beras Porang","Rp125.000"
"Mie Sedaap Soto Dus/Mie Instan","Rp108.000"
"Mie Sedaap Singapore Spicy Laksa Dus/Mie Instan","Rp108.000"
"Mie Sedaap Ayam Bawang Dus/Mie Instan","Rp108.000"
"Indomie Goreng Special Mie Instan","Rp3.000"
"Indomie Kuah Soto Mie Mie Instan","Rp3.300"
"Indomie Goreng Special Jumbo Mie Instan","Rp4.300"
"Indomie Kuah Ayam Bawang Mie Instan","Rp3.300"
"Indomie Kuah Kari Ayam Mie Instan","Rp3.400"
"Indomie Kuah Ayam Spesial Mie Instan","Rp3.300"
"Indomie Goreng Rendang Mie Instan","Rp3.600"
"Indomie Goreng Ayam Panggang Jumbo Mie Instan","Rp4.500"
"Indomie Kuah Ayam Bawang Mie Instan Dus","Rp124.400"
"Indomie Kuah Ayam Spesial Mie Instan Dus","Rp124.400"
"Indomie Kuah Soto Mie Instan Dus","Rp124.400"
"Indomie Goreng Special Mie Instan Dus","Rp120.000"
"Indomie Goreng Special Jumbo Mie Instan Dus","Rp97.500"
"Indomie Kuah Kari Ayam Mie Instan Dus","Rp129.000"
"[Bundling 3] Indomie Mie Instant Premium Japanese Tori Kara Ramen 89 gram","Rp18.000"
"[Bundling 3] Indomie Premium Korean Fried Noodle Fiery Chikin Mie Instan 94 gram","Rp18.000"
"[Bundling 3] Indomie Premium Korean Soup Noodle Spicy Ramyeon Mie Instan 83 gram","Rp18.000"
"[Bundling 3] Indomie Premium Korean Fried Noodle K- Rose Mie Instan 85 gram","Rp18.000"
"Wow Spaghetti Creamy Carbonara Pasta","Rp3.800"
"[Bundling 3] Atoom Super Bihun Kuah 51gram","Rp15.300"
"Samyang Hot Chicken Ramen Buldak Carbonara Mie Instan","Rp26.000"
"Samyang Hot Chicken Extreme 2x Spicy Ramen","Rp26.000"
"Samyang Hot Chicken Ramen Buldak Original Mie Instan","Rp26.000"
"Samyang Hot Chicken Ramen Buldak Carbonara Mie Instan Bowl","Rp36.200"
"Samyang Hot Chicken Ramen Buldak Cheese Mie Instan","Rp26.000"
"Samyang Hot Chicken Ramen Original Bowl/Mie Instan","Rp33.400"
"Lemonilo Mie Goreng/Mie instan 65gram","Rp7.500"
"Nongshim Shin Ramyun Spicy Mushroom Mie Instan","Rp13.000"
"Bihunku Rasa Soto Spesial","Rp4.100"
"Bihunku Bihun Instan Bakso Sapi","Rp3.800"
